MMR
lambda=0.5
alpha  |  K  |  alpha-NDCG@K
0.1  |  1  |  0.417
0.1  |  5  |  0.621
0.1  |  10  |  0.614
0.1  |  20  |  0.604
0.1  |  30  |  0.606
0.1  |  40  |  0.613
0.1  |  50  |  0.615
0.5  |  1  |  0.417
0.5  |  5  |  0.623
0.5  |  10  |  0.625
0.5  |  20  |  0.621
0.5  |  30  |  0.621
0.5  |  40  |  0.62
0.5  |  50  |  0.62
0.9  |  1  |  0.417
0.9  |  5  |  0.621
0.9  |  10  |  0.63
0.9  |  20  |  0.628
0.9  |  30  |  0.627
0.9  |  40  |  0.626
0.9  |  50  |  0.626
lambda=0.25
alpha  |  K  |  alpha-NDCG@K
0.1  |  1  |  0.417
0.1  |  5  |  0.606
0.1  |  10  |  0.6
0.1  |  20  |  0.596
0.1  |  30  |  0.591
0.1  |  40  |  0.593
0.1  |  50  |  0.597
0.5  |  1  |  0.417
0.5  |  5  |  0.613
0.5  |  10  |  0.617
0.5  |  20  |  0.615
0.5  |  30  |  0.608
0.5  |  40  |  0.609
0.5  |  50  |  0.61
0.9  |  1  |  0.417
0.9  |  5  |  0.615
0.9  |  10  |  0.623
0.9  |  20  |  0.622
0.9  |  30  |  0.612
0.9  |  40  |  0.613
0.9  |  50  |  0.612
